Video ID,Time (s),Center X,Center Y,Radius
67,1.2666666666666666,560,70,65
67,1.3,560,70,65
67,1.7333333333333334,456,90,66
67,1.7666666666666666,456,90,66
67,1.8,456,90,66
67,1.8333333333333333,390,124,64
67,1.8666666666666667,390,124,64
67,1.9,390,124,64
67,1.9333333333333333,390,124,64
67,1.9666666666666666,390,124,64
67,2.0,390,124,64
67,2.033333333333333,390,124,64
67,2.066666666666667,390,124,64
67,2.7,290,100,64
67,2.7333333333333334,290,100,64
67,2.7666666666666666,290,100,64
67,2.8,290,98,64
67,2.8333333333333335,290,98,64
67,2.8666666666666667,290,98,64
67,3.3333333333333335,642,86,64
67,3.3666666666666667,642,86,64
67,3.4,642,86,64
67,3.433333333333333,642,86,64
67,3.466666666666667,642,86,64
67,3.9,384,392,66
67,3.933333333333333,384,392,66
67,3.966666666666667,384,392,66
67,4.0,384,392,66
67,4.033333333333333,384,392,66
67,4.4,148,390,64
67,4.433333333333334,148,388,64
67,4.466666666666667,148,388,64
67,4.5,148,388,64
67,4.533333333333333,120,468,68
67,4.566666666666666,120,468,68
67,4.6,120,468,68
67,4.633333333333334,120,468,68
67,4.8,96,124,66
67,4.833333333333333,96,124,66
67,4.866666666666666,96,124,66
67,4.9,96,124,66
67,5.3,136,182,64
67,5.333333333333333,136,182,64
67,5.766666666666667,288,244,66
67,5.8,288,244,66
67,5.833333333333333,288,244,66
67,5.866666666666666,288,244,66
67,5.9,432,278,63
67,5.933333333333334,430,278,64
67,5.966666666666667,430,278,64
67,6.933333333333334,98,144,66
67,6.966666666666667,98,144,66
67,7.266666666666667,506,180,66
67,7.3,506,180,64
67,7.333333333333333,506,180,64
67,7.366666666666666,808,194,66
67,7.4,808,194,66
67,7.433333333333334,808,194,66
67,7.466666666666667,808,188,64
67,7.5,736,184,66
67,7.533333333333333,732,162,67
67,7.566666666666666,734,138,64
67,7.6,736,138,65
67,7.633333333333334,736,126,64
67,7.666666666666667,738,104,64
67,7.933333333333334,104,432,66
67,7.933333333333334,374,158,62
67,7.966666666666667,104,432,66
67,8.0,104,432,66
67,8.7,320,452,52
67,8.733333333333333,320,452,52
67,8.766666666666667,320,452,52
67,8.8,322,450,51
67,9.0,238,476,61
67,9.033333333333333,238,476,61
67,10.0,216,482,64
67,10.033333333333333,216,482,64
67,10.066666666666666,406,396,64
67,10.2,502,528,64
67,10.233333333333333,502,528,64
67,10.266666666666667,502,528,64
67,10.733333333333333,586,370,66
67,10.8,586,370,66
67,10.866666666666667,596,372,60
67,10.933333333333334,604,372,68
67,10.966666666666667,590,360,64
67,11.0,590,360,64
67,11.033333333333333,592,362,63
67,11.066666666666666,592,362,63
67,11.1,592,362,63
67,11.8,444,396,66
67,11.833333333333334,444,396,66
67,11.866666666666667,446,396,64
67,11.9,446,396,64
67,12.033333333333333,390,430,66
67,12.066666666666666,390,428,64
67,12.1,390,430,66
67,12.133333333333333,390,428,64
67,12.166666666666666,390,428,64
67,12.2,370,450,61
67,12.233333333333333,370,450,61
67,12.266666666666667,370,448,66
67,12.3,366,432,63
67,12.5,402,490,64
67,12.533333333333333,404,472,64
67,12.566666666666666,404,472,64
67,12.6,404,464,64
67,12.666666666666666,402,464,65
67,12.7,404,462,64
67,13.266666666666667,380,614,65
67,13.3,378,582,64
67,13.366666666666667,376,574,63
67,13.566666666666666,264,564,61
67,14.7,254,410,64
67,14.866666666666667,174,486,51
67,15.033333333333333,250,388,65
67,15.666666666666666,534,528,65
67,15.733333333333333,534,528,65
67,15.833333333333334,534,144,66
67,16.0,606,144,58
67,16.1,660,214,65
67,16.133333333333333,658,220,63
67,16.166666666666668,658,236,64
67,16.2,702,346,64
67,16.233333333333334,704,420,64
67,16.266666666666666,702,482,64
67,16.366666666666667,706,424,61
67,16.5,668,536,56
67,16.6,584,454,65
67,16.633333333333333,584,456,64
67,16.666666666666668,582,454,64
67,16.7,582,454,65
67,16.733333333333334,582,454,65
67,16.766666666666666,584,450,65
67,16.8,582,448,64
67,16.966666666666665,550,348,64
67,17.0,646,286,65
67,17.033333333333335,644,274,64
67,17.066666666666666,646,272,65
67,17.1,646,272,65
67,17.133333333333333,652,284,64
67,17.166666666666668,654,286,64
67,17.2,652,284,64
67,17.2,370,500,55
67,17.233333333333334,654,284,64
67,17.266666666666666,644,276,66
67,17.3,644,276,66
67,17.333333333333332,644,276,66
67,17.366666666666667,586,286,65
67,17.4,586,286,64
67,17.433333333333334,586,286,64
67,17.466666666666665,586,286,64
67,17.6,548,272,66
67,17.633333333333333,548,272,64
67,17.7,480,256,64
67,17.8,490,256,64
67,17.833333333333332,488,224,64
67,17.866666666666667,490,216,65
67,17.9,486,202,65
67,17.933333333333334,454,254,64
67,17.966666666666665,456,250,64
67,18.033333333333335,454,240,65
67,18.066666666666666,398,256,66
67,18.1,396,254,65
67,18.2,354,256,66
67,18.233333333333334,356,256,66
67,18.366666666666667,356,264,64
67,18.4,356,264,64
67,18.433333333333334,356,264,64
67,18.466666666666665,356,264,64
67,18.666666666666668,330,378,68
67,19.0,338,168,64
67,19.066666666666666,338,168,64
67,19.1,338,168,64
67,19.4,160,304,67
67,19.7,184,348,64
67,19.766666666666666,186,370,64
67,19.8,184,370,64
67,19.866666666666667,198,404,64
67,19.9,200,432,64
67,20.133333333333333,218,358,67
67,20.166666666666668,220,358,62
67,20.266666666666666,246,314,66
67,20.333333333333332,268,316,67
67,20.366666666666667,268,316,67
67,20.4,268,316,67
67,20.433333333333334,268,316,67
67,20.966666666666665,364,314,63
67,21.0,366,316,65
67,21.033333333333335,366,316,65
67,21.066666666666666,364,318,64
67,21.1,368,328,66
67,21.166666666666668,368,328,66
67,21.233333333333334,340,340,62
67,21.266666666666666,344,338,64
67,21.3,344,338,64
67,21.333333333333332,344,338,64
67,21.366666666666667,344,338,64
67,21.533333333333335,158,608,63
67,21.566666666666666,152,604,63
67,21.6,158,608,63
67,21.633333333333333,198,514,67
67,21.666666666666668,198,514,67
67,22.233333333333334,188,416,65
67,22.333333333333332,188,414,64
67,22.4,176,420,65
67,22.433333333333334,176,420,65
67,22.566666666666666,178,436,65
67,23.266666666666666,202,520,53
67,23.3,200,526,65
67,23.333333333333332,200,526,65
67,23.666666666666668,184,528,65
67,24.633333333333333,224,506,64
67,24.666666666666668,182,508,64
67,24.7,184,512,63
67,24.766666666666666,158,500,64
67,24.8,158,500,64
67,25.0,184,478,66
67,25.033333333333335,184,478,66
67,25.066666666666666,184,478,66
67,25.1,166,464,64
67,25.133333333333333,166,464,65
67,25.166666666666668,166,464,64
67,25.2,168,462,64
67,25.266666666666666,160,462,57
67,25.3,160,462,57
67,25.333333333333332,160,462,57
67,25.366666666666667,152,454,64
67,25.666666666666668,104,494,64
67,25.7,104,494,64
67,25.733333333333334,104,494,64
67,25.766666666666666,102,494,64
67,25.8,122,552,66
67,25.833333333333332,122,552,66
67,25.866666666666667,122,552,66
67,25.9,122,552,66
67,25.933333333333334,122,552,66
67,26.1,174,606,62
67,26.166666666666668,166,608,58
67,26.2,170,586,64
67,26.233333333333334,174,588,66
67,26.266666666666666,172,588,65
67,26.3,174,588,66
67,26.333333333333332,200,566,57
67,26.366666666666667,200,566,57
67,26.433333333333334,210,554,66
67,26.466666666666665,210,554,66
67,26.5,208,558,64
67,26.533333333333335,208,558,64
67,26.566666666666666,174,542,64
67,26.6,174,542,64
67,26.633333333333333,174,542,64
67,26.666666666666668,174,542,64
67,26.7,174,542,64
67,26.733333333333334,174,542,64
67,26.766666666666666,162,544,68
67,26.8,162,544,68
67,26.833333333333332,168,546,64
67,27.166666666666668,154,496,64
67,27.233333333333334,150,496,67
67,28.333333333333332,266,496,64
67,29.133333333333333,372,304,64
67,29.166666666666668,372,304,64
67,29.2,372,304,64
67,29.233333333333334,372,304,64
67,29.266666666666666,250,368,64
67,29.3,250,368,64
