Video ID,Time (s),Center X,Center Y,Radius
2,0.0,334,646,59
2,0.03333333333333333,332,648,58
2,0.06666666666666667,334,646,59
2,0.06666666666666667,708,276,63
2,0.1,334,646,59
2,0.1,764,314,58
2,0.13333333333333333,334,648,58
2,0.13333333333333333,652,334,52
2,0.13333333333333333,890,252,53
2,0.16666666666666666,334,648,58
2,0.16666666666666666,652,334,52
2,0.16666666666666666,890,252,53
2,0.2,334,648,58
2,0.2,652,334,52
2,0.2,890,252,53
2,0.23333333333333334,334,648,58
2,0.23333333333333334,652,334,52
2,0.23333333333333334,890,252,53
2,0.26666666666666666,334,648,58
2,0.26666666666666666,652,334,52
2,0.26666666666666666,890,252,53
2,0.3,334,646,59
2,0.3,486,598,60
2,0.3,652,334,52
2,0.3,890,252,53
2,0.3333333333333333,332,650,58
2,0.3333333333333333,890,252,53
2,0.36666666666666664,332,650,58
2,0.36666666666666664,890,252,53
2,0.4,332,650,58
2,0.4,890,252,53
2,0.43333333333333335,332,650,58
2,0.43333333333333335,890,252,53
2,0.43333333333333335,546,242,58
2,0.4666666666666667,332,650,58
2,0.4666666666666667,890,252,53
2,0.4666666666666667,546,242,58
2,0.5,332,650,58
2,0.5,890,252,53
2,0.5333333333333333,332,650,58
2,0.5333333333333333,890,252,53
2,0.5333333333333333,586,212,66
2,0.5666666666666667,332,650,58
2,0.5666666666666667,890,252,53
2,0.5666666666666667,590,214,66
2,0.6,672,164,64
2,0.6,332,650,58
2,0.6,890,252,53
2,0.6333333333333333,672,164,64
2,0.6333333333333333,332,650,58
2,0.6333333333333333,890,252,53
2,0.6666666666666666,672,164,64
2,0.6666666666666666,332,650,58
2,0.6666666666666666,890,252,53
2,0.7,672,164,64
2,0.7,332,650,58
2,0.7,890,252,53
2,0.7333333333333333,672,164,64
2,0.7333333333333333,332,650,58
2,0.7333333333333333,890,252,53
2,0.7666666666666667,332,650,58
2,0.7666666666666667,874,184,61
2,0.7666666666666667,652,334,52
2,0.8,332,650,58
2,0.8,874,184,61
2,0.8,652,334,52
2,0.8333333333333334,332,650,58
2,0.8333333333333334,868,190,66
2,0.8333333333333334,652,334,52
2,0.8666666666666667,332,650,58
2,0.8666666666666667,874,184,61
2,0.9,332,650,58
2,0.9,726,278,56
2,0.9,868,196,60
2,0.9333333333333333,332,650,58
2,0.9333333333333333,726,278,64
2,0.9666666666666667,332,650,58
2,0.9666666666666667,726,278,64
2,1.0,332,650,58
2,1.0333333333333334,332,650,58
2,1.0666666666666667,332,650,58
2,1.1,332,650,58
2,1.1333333333333333,332,650,58
2,1.1666666666666667,332,650,58
2,1.2,332,650,58
2,1.2333333333333334,332,650,58
2,1.2666666666666666,332,650,58
2,1.2666666666666666,652,334,52
2,1.3,332,648,58
2,1.3,652,334,55
2,1.3333333333333333,332,648,58
2,1.3666666666666667,332,650,58
2,1.3666666666666667,750,248,68
2,1.4,332,650,58
2,1.4333333333333333,332,650,58
2,1.4333333333333333,738,270,54
2,1.4666666666666666,332,650,58
2,1.5,332,650,58
2,1.5333333333333334,332,650,58
2,1.5666666666666667,334,646,59
2,1.6,334,646,59
2,1.6333333333333333,332,650,58
2,1.6666666666666667,332,650,58
2,1.7,332,650,58
2,1.7333333333333334,332,650,58
2,1.7666666666666666,332,650,58
2,1.8,332,650,58
2,1.8333333333333333,332,650,58
2,1.8333333333333333,302,224,66
2,1.8666666666666667,332,650,58
2,1.8666666666666667,306,224,64
2,1.9,332,650,58
2,1.9,302,224,66
2,1.9333333333333333,332,650,58
2,1.9333333333333333,302,224,66
2,1.9666666666666666,332,650,58
2,2.0,332,650,58
2,2.033333333333333,332,650,58
2,2.066666666666667,332,650,58
2,2.1,332,650,58
2,2.1333333333333333,332,650,58
2,2.1666666666666665,332,650,58
2,2.2,332,650,58
2,2.2,980,336,53
2,2.2333333333333334,332,650,58
2,2.2666666666666666,334,646,59
2,2.3,334,646,59
2,2.3333333333333335,334,646,59
2,2.3666666666666667,332,650,58
2,2.4,332,650,58
2,2.4,238,230,61
