Video ID,Time (s),Center X,Center Y,Radius
13,0.0,742,626,64
13,0.03333333333333333,718,648,66
13,0.03333333333333333,742,626,64
13,0.06666666666666667,742,626,64
13,0.1,742,626,64
13,0.13333333333333333,592,490,60
13,0.16666666666666666,592,490,60
13,0.2,592,490,60
13,0.23333333333333334,592,490,60
13,0.9,654,468,61
13,0.9333333333333333,654,468,61
13,0.9666666666666667,654,468,61
13,1.0,654,468,61
13,1.0333333333333334,654,468,61
13,1.0666666666666667,354,656,53
13,1.1,356,648,58
13,1.1333333333333333,356,648,58
13,1.1666666666666667,356,648,58
13,1.4666666666666666,436,652,60
13,1.5,736,594,56
13,1.5,432,640,56
13,1.5333333333333334,436,622,60
13,1.5333333333333334,776,626,67
13,1.5666666666666667,438,618,61
13,1.5666666666666667,542,602,62
13,1.6,608,340,53
13,1.6333333333333333,496,580,68
13,1.6333333333333333,714,638,52
13,1.6666666666666667,728,596,67
13,1.6666666666666667,544,560,55
13,1.7,660,580,61
13,1.7,606,444,57
13,1.7333333333333334,606,416,58
13,1.7666666666666666,536,552,64
13,1.7666666666666666,602,394,61
13,1.8,764,478,56
13,1.8,602,378,58
13,1.8333333333333333,712,522,66
13,1.8333333333333333,608,220,57
13,1.8333333333333333,600,372,52
13,1.8666666666666667,556,532,64
13,1.8666666666666667,778,466,57
13,1.9,552,522,68
13,1.9,778,466,57
13,1.9,712,530,58
13,1.9333333333333333,854,494,57
13,1.9666666666666666,728,352,62
13,2.0,728,346,63
13,2.0,732,524,68
13,2.0,552,518,53
13,2.033333333333333,728,332,64
13,2.066666666666667,728,322,62
13,2.066666666666667,722,500,68
13,2.1,726,320,62
13,2.1333333333333333,720,472,66
13,2.1333333333333333,536,492,56
13,2.2,540,450,53
13,2.2333333333333334,540,450,53
13,2.2666666666666666,732,454,68
13,2.2666666666666666,666,146,56
13,2.3,536,434,55
13,2.3333333333333335,714,430,52
13,2.533333333333333,420,286,64
13,2.566666666666667,416,286,62
13,2.6,414,280,64
13,2.6333333333333333,460,262,62
13,2.6666666666666665,460,262,60
13,2.7,460,262,60
13,2.7333333333333334,460,268,56
13,2.7333333333333334,546,398,55
13,2.7666666666666666,770,286,53
13,2.8,490,256,61
13,2.8333333333333335,490,256,61
13,2.8666666666666667,734,400,67
13,2.8666666666666667,490,256,61
13,2.9,734,400,67
13,2.933333333333333,734,400,67
13,3.1666666666666665,714,368,66
13,3.2,714,362,61
13,3.2,734,400,67
13,3.2333333333333334,714,362,61
13,3.2333333333333334,734,400,67
13,3.4,732,380,66
13,3.433333333333333,732,390,68
13,3.466666666666667,538,390,63
13,3.533333333333333,540,362,62
13,3.533333333333333,388,270,56
13,3.566666666666667,386,260,55
13,3.6,446,350,66
13,3.6333333333333333,498,652,55
13,3.6333333333333333,388,254,55
13,3.6666666666666665,556,346,64
13,3.6666666666666665,510,634,56
13,3.6666666666666665,720,326,56
13,3.7,556,346,64
13,3.7,510,634,56
13,3.7,720,326,56
13,3.7,398,248,65
13,3.7333333333333334,398,248,64
13,3.7666666666666666,516,642,61
13,3.7666666666666666,398,248,64
13,3.8,404,246,58
13,3.8333333333333335,396,246,62
13,3.8666666666666667,440,234,58
13,3.9,730,326,68
13,3.933333333333333,440,240,64
13,3.966666666666667,440,240,64
13,4.0,728,330,65
13,4.0,464,222,56
13,4.033333333333333,466,226,62
13,4.033333333333333,728,322,64
13,4.066666666666666,466,226,62
13,4.066666666666666,772,270,60
13,4.066666666666666,714,330,51
13,4.066666666666666,538,314,52
13,4.166666666666667,776,280,57
13,4.166666666666667,720,314,56
13,4.2,776,280,57
13,4.2,720,314,56
