Video ID,Time (s),Center X,Center Y,Radius
74,0.06666666666666667,68,96,58
74,0.1,78,96,58
74,0.13333333333333333,78,96,58
74,0.2,564,120,62
74,0.3333333333333333,352,534,57
74,0.36666666666666664,364,476,62
74,0.4,392,404,62
74,0.4666666666666667,416,350,60
74,0.5,420,346,64
74,0.5333333333333333,420,348,61
74,0.6333333333333333,308,302,57
74,0.6666666666666666,272,298,64
74,0.7,256,300,58
74,0.7333333333333333,248,310,65
74,0.9,122,338,63
74,0.9333333333333333,122,338,63
74,0.9666666666666667,134,330,60
74,1.1,90,324,62
74,1.1333333333333333,74,322,63
74,1.1666666666666667,74,322,63
74,1.2,60,332,60
74,1.5666666666666667,102,374,63
74,1.6,282,420,63
74,1.6333333333333333,282,420,63
74,1.6666666666666667,290,420,64
74,1.7333333333333334,310,422,56
74,1.9666666666666666,368,406,58
74,2.0,374,400,60
74,2.033333333333333,386,400,61
74,2.1333333333333333,386,384,66
74,2.1666666666666665,386,382,61
74,2.2,386,382,61
74,2.2333333333333334,394,374,63
74,2.2666666666666666,394,366,62
74,2.3,394,358,63
74,2.3333333333333335,394,358,63
74,2.3666666666666667,394,346,63
74,2.4,448,346,58
74,3.0,786,302,60
74,3.066666666666667,832,290,57
74,3.1,852,296,61
74,3.2333333333333334,884,294,62
74,3.2666666666666666,906,286,56
74,3.4,920,276,61
74,3.433333333333333,920,276,61
74,3.5,936,268,67
74,3.6,944,256,61
74,3.7666666666666666,956,222,64
74,4.233333333333333,980,152,62
74,4.4,976,92,64
74,5.066666666666666,326,60,64
74,5.4,132,64,64
74,5.433333333333334,134,66,65
74,5.466666666666667,130,70,62
74,5.5,116,70,57
74,6.5,216,124,64
74,6.533333333333333,218,150,62
74,6.566666666666666,214,168,59
74,6.6,210,186,61
74,6.633333333333334,200,198,61
74,6.666666666666667,200,174,62
74,6.7,194,216,58
74,6.766666666666667,198,206,63
74,6.8,196,194,61
74,6.9,466,652,52
74,6.933333333333334,546,664,52
74,6.966666666666667,550,644,64
74,6.966666666666667,152,236,58
74,7.0,548,638,62
74,7.0,466,616,53
74,7.033333333333333,430,636,67
74,7.033333333333333,140,258,56
74,7.066666666666666,484,594,62
74,7.066666666666666,552,616,61
74,7.066666666666666,148,234,65
74,7.1,440,568,62
74,7.166666666666667,536,544,53
74,7.2,480,598,56
