Video ID,Time (s),Center X,Center Y,Radius
21,0.0,334,648,57
21,0.0,544,502,65
21,0.0,692,272,53
21,0.03333333333333333,334,648,57
21,0.03333333333333333,544,500,64
21,0.03333333333333333,750,234,53
21,0.06666666666666667,334,646,58
21,0.06666666666666667,542,494,61
21,0.06666666666666667,888,234,64
21,0.06666666666666667,750,234,56
21,0.1,334,648,57
21,0.1,544,500,64
21,0.13333333333333333,516,458,62
21,0.13333333333333333,334,646,58
21,0.13333333333333333,804,336,60
21,0.13333333333333333,888,234,64
21,0.13333333333333333,750,234,53
21,0.16666666666666666,516,458,62
21,0.16666666666666666,332,644,60
21,0.16666666666666666,756,232,54
21,0.2,516,458,64
21,0.2,334,644,59
21,0.2,754,258,52
21,0.23333333333333334,334,646,58
21,0.23333333333333334,514,428,64
21,0.23333333333333334,752,272,62
21,0.26666666666666666,334,646,58
21,0.3,334,646,58
21,0.3333333333333333,334,646,58
21,0.36666666666666664,334,646,58
21,0.4,334,646,58
21,0.43333333333333335,334,646,58
21,0.4666666666666667,334,646,58
21,0.5,334,646,58
21,0.5,518,426,64
21,0.5333333333333333,334,646,58
21,0.5333333333333333,514,428,61
21,0.5666666666666667,334,646,58
21,0.5666666666666667,514,422,61
21,0.6,334,646,58
21,0.6,514,422,61
21,0.6333333333333333,334,646,58
21,0.6666666666666666,334,646,58
21,0.7,334,646,58
21,0.7333333333333333,334,646,58
21,0.7333333333333333,438,384,62
21,0.7666666666666667,334,646,58
21,0.7666666666666667,438,384,62
21,0.8,334,646,58
21,0.8333333333333334,334,646,58
21,0.8666666666666667,334,646,58
21,0.9,334,646,58
21,0.9333333333333333,334,646,58
21,0.9666666666666667,334,646,58
21,1.0,334,646,58
21,1.0333333333333334,334,646,58
21,1.0666666666666667,334,646,58
21,1.1,334,646,58
21,1.1333333333333333,334,646,58
21,1.1666666666666667,334,646,58
21,1.2,334,646,58
21,1.2333333333333334,334,646,58
21,1.2666666666666666,334,646,58
21,1.3,334,646,58
21,1.3333333333333333,334,646,58
21,1.3666666666666667,334,646,58
21,1.4,334,646,58
21,1.4333333333333333,334,646,58
21,1.4666666666666666,334,646,58
21,1.5,334,646,58
21,1.5333333333333334,334,646,58
21,1.5666666666666667,334,646,58
21,1.6,308,228,64
21,1.6,334,646,58
21,1.6333333333333333,308,228,64
21,1.6333333333333333,334,646,58
21,1.6666666666666667,308,228,64
21,1.6666666666666667,334,646,58
21,1.7,308,228,64
21,1.7,334,646,58
21,1.7333333333333334,334,646,58
21,1.7333333333333334,264,234,61
21,1.7666666666666666,334,646,58
21,1.7666666666666666,262,240,67
21,1.8,334,646,58
21,1.8,262,240,67
21,1.8333333333333333,334,646,58
21,1.8333333333333333,262,240,67
21,1.8666666666666667,334,646,58
21,1.9,334,646,58
21,1.9333333333333333,334,646,58
21,1.9666666666666666,334,646,58
21,2.0,334,646,58
21,2.0,730,562,57
21,2.033333333333333,334,646,58
21,2.033333333333333,742,570,60
21,2.066666666666667,334,646,58
21,2.066666666666667,734,572,58
21,2.1,334,646,58
21,2.1,734,572,58
21,2.1333333333333333,334,646,58
21,2.1333333333333333,726,528,58
21,2.1666666666666665,334,646,58
21,2.1666666666666665,726,528,68
21,2.2,334,646,58
21,2.2,726,528,68
21,2.2333333333333334,334,646,58
21,2.2333333333333334,726,528,68
21,2.2666666666666666,334,646,58
21,2.2666666666666666,698,520,64
21,2.3,334,646,58
21,2.3,698,520,64
21,2.3333333333333335,334,646,58
21,2.3333333333333335,698,520,64
21,2.3666666666666667,334,646,58
21,2.4,334,646,58
21,2.4,696,494,64
21,2.433333333333333,334,646,58
21,2.433333333333333,696,494,64
21,2.466666666666667,334,646,58
21,2.466666666666667,696,494,64
21,2.5,334,646,58
21,2.5,696,494,64
21,2.533333333333333,334,646,58
21,2.566666666666667,334,646,58
21,2.6,334,646,58
21,2.6333333333333333,334,646,58
21,2.6666666666666665,334,646,58
21,2.7,332,646,58
21,2.7333333333333334,332,646,58
21,2.7666666666666666,334,644,58
21,2.8,332,640,60
21,2.8333333333333335,334,640,58
21,2.8666666666666667,334,640,58
21,2.9,332,636,60
21,2.933333333333333,332,618,58
21,2.966666666666667,334,596,58
21,2.966666666666667,978,286,68
21,3.0,332,582,58
21,3.033333333333333,334,582,58
21,3.033333333333333,1004,162,53
21,3.066666666666667,334,578,58
21,3.1,334,578,58
21,3.1,1026,620,66
21,3.1333333333333333,334,574,57
21,3.1333333333333333,726,500,68
21,3.1333333333333333,890,178,53
21,3.1666666666666665,334,560,60
21,3.2,334,558,58
21,3.2,1006,602,63
21,3.2,930,610,60
21,3.2,956,582,53
21,3.2333333333333334,334,558,58
21,3.2333333333333334,946,604,64
21,3.2333333333333334,722,136,51
21,3.2666666666666666,334,558,57
21,3.2666666666666666,732,490,63
21,3.3,334,558,57
21,3.3,756,140,54
21,3.3333333333333335,334,558,57
21,3.3666666666666667,334,552,58
21,3.4,334,534,58
21,3.4,690,176,66
21,3.433333333333333,334,512,58
21,3.433333333333333,894,104,66
21,3.433333333333333,986,188,52
21,3.466666666666667,334,496,60
21,3.5,334,492,60
21,3.533333333333333,336,492,61
21,3.566666666666667,334,480,60
21,3.6,492,518,63
21,3.6,334,442,58
21,3.6333333333333333,332,416,58
21,3.6333333333333333,494,488,62
21,3.6333333333333333,978,94,63
21,3.6666666666666665,494,468,62
21,3.6666666666666665,334,394,58
21,3.7,332,384,58
21,3.7,490,460,62
21,3.7333333333333334,332,384,58
21,3.7333333333333334,490,458,62
21,3.7333333333333334,980,62,61
21,3.7666666666666666,494,458,62
21,3.7666666666666666,332,384,58
21,3.8,334,382,58
21,3.8,490,458,62
21,3.8,876,56,54
21,3.8333333333333335,334,382,58
21,3.8333333333333335,876,56,54
21,3.8333333333333335,490,504,58
21,3.8666666666666667,334,378,57
21,3.8666666666666667,496,506,64
21,3.9,334,360,58
21,3.9,490,486,60
21,3.933333333333333,334,334,60
21,3.933333333333333,498,462,66
21,3.966666666666667,334,304,58
21,3.966666666666667,512,508,61
21,4.0,332,304,58
21,4.0,514,500,61
21,4.033333333333333,334,292,58
21,4.033333333333333,508,496,58
21,4.066666666666666,332,292,58
21,4.066666666666666,512,496,64
21,4.1,334,292,58
21,4.1,512,496,64
21,4.133333333333334,334,292,58
21,4.133333333333334,512,496,64
21,4.166666666666667,334,292,58
21,4.166666666666667,512,496,64
21,4.2,522,488,63
21,4.2,332,258,59
21,4.233333333333333,522,460,63
21,4.233333333333333,334,234,58
21,4.266666666666667,332,234,58
21,4.3,332,234,58
21,4.333333333333333,334,238,60
21,4.366666666666666,334,238,60
21,4.4,332,234,58
21,4.433333333333334,986,542,63
21,4.433333333333334,332,234,58
21,4.466666666666667,986,542,63
21,4.466666666666667,334,234,58
21,4.466666666666667,952,280,54
21,4.5,986,542,63
21,4.5,334,234,58
21,4.533333333333333,986,542,63
21,4.533333333333333,332,234,58
21,4.566666666666666,332,234,58
21,4.6,332,234,58
21,4.633333333333334,332,234,58
21,4.666666666666667,332,234,58
21,4.7,332,234,58
21,4.7,926,288,62
21,4.733333333333333,334,234,58
21,4.733333333333333,926,288,62
21,4.733333333333333,1150,272,62
21,4.766666666666667,334,234,58
21,4.8,334,234,58
21,4.833333333333333,334,234,58
21,4.866666666666666,334,234,58
21,4.9,332,234,58
21,4.9,1010,286,51
21,4.933333333333334,332,234,58
21,4.966666666666667,334,234,58
21,5.0,334,234,58
21,5.033333333333333,332,232,59
21,5.066666666666666,332,234,58
21,5.1,334,234,58
21,5.1,1164,240,64
21,5.133333333333334,334,234,58
21,5.133333333333334,1160,232,61
21,5.166666666666667,334,234,58
21,5.166666666666667,1160,232,60
21,5.2,334,234,58
21,5.2,1160,232,60
21,5.233333333333333,332,234,58
21,5.266666666666667,334,234,58
21,5.3,334,234,58
21,5.333333333333333,332,234,58
21,5.333333333333333,1010,286,51
21,5.366666666666666,332,234,58
21,5.366666666666666,1166,230,63
21,5.366666666666666,1004,284,58
21,5.4,332,234,58
21,5.4,1004,284,58
21,5.433333333333334,334,234,58
21,5.433333333333334,1170,232,66
21,5.466666666666667,334,234,58
21,5.466666666666667,1166,230,62
21,5.5,320,234,58
21,5.533333333333333,260,234,58
