Video ID,Time (s),Center X,Center Y,Radius
71,0.0,1068,602,66
71,0.03333333333333333,912,508,65
71,0.06666666666666667,762,438,62
71,0.1,732,434,68
71,0.13333333333333333,708,422,61
71,0.16666666666666666,722,396,61
71,0.2,722,396,61
71,0.23333333333333334,760,354,62
71,0.3333333333333333,762,332,65
71,0.36666666666666664,762,332,65
71,0.43333333333333335,366,302,66
71,0.5333333333333333,160,296,56
71,0.5666666666666667,160,298,53
71,0.6,70,254,61
71,0.8333333333333334,66,210,64
71,0.8666666666666667,66,206,61
71,0.9,74,218,60
71,1.9,222,416,61
71,1.9333333333333333,168,502,62
71,1.9666666666666666,158,500,61
71,2.0,164,518,62
71,2.033333333333333,148,506,63
71,2.066666666666667,148,506,62
71,2.1,140,532,62
71,2.1333333333333333,122,508,62
71,2.1666666666666665,126,506,64
71,2.2,152,514,62
71,2.2333333333333334,152,514,62
71,2.2666666666666666,140,510,65
71,2.3,140,510,65
71,2.3333333333333335,140,510,65
71,2.3666666666666667,136,508,60
71,2.4,134,508,66
71,2.433333333333333,148,526,62
71,2.466666666666667,148,526,62
71,2.5,174,526,60
71,2.533333333333333,204,534,62
71,2.566666666666667,204,534,63
71,2.6,204,534,63
71,2.6333333333333333,212,530,65
71,2.6666666666666665,210,536,64
71,2.7,216,530,64
71,2.7333333333333334,204,520,64
71,2.7666666666666666,204,520,64
71,2.8,196,508,66
71,2.9,228,480,65
71,2.933333333333333,278,472,60
71,2.966666666666667,276,472,66
71,3.0,286,464,61
71,3.033333333333333,288,464,62
71,3.066666666666667,290,468,61
71,3.2,274,464,62
71,3.2333333333333334,286,458,61
71,3.2666666666666666,286,458,61
71,3.3333333333333335,294,454,60
71,3.3666666666666667,308,444,64
71,3.433333333333333,338,444,66
71,3.466666666666667,344,442,62
71,3.5,338,444,66
71,3.533333333333333,320,462,61
71,3.566666666666667,322,458,63
71,3.6,320,472,62
71,3.6333333333333333,320,472,62
71,3.6666666666666665,334,484,60
71,3.7,346,494,62
71,3.7333333333333334,354,500,63
71,3.7666666666666666,354,498,62
71,3.8,370,500,62
71,3.8333333333333335,366,502,62
71,3.8666666666666667,366,502,62
71,3.9,370,500,62
71,3.933333333333333,380,498,64
71,3.966666666666667,372,498,65
71,4.0,374,496,61
71,4.033333333333333,416,544,66
71,4.066666666666666,416,544,66
71,4.1,404,534,62
71,4.133333333333334,412,540,58
71,4.166666666666667,410,540,60
71,4.2,416,550,58
71,4.3,410,544,57
71,4.333333333333333,414,540,60
71,4.4,422,540,60
71,4.433333333333334,414,544,66
71,4.466666666666667,414,544,66
71,4.5,422,536,63
71,4.533333333333333,424,534,62
71,4.566666666666666,424,534,62
71,4.6,424,534,62
71,4.633333333333334,428,520,64
71,4.666666666666667,428,520,64
71,4.7,804,558,63
71,5.066666666666666,838,660,56
71,5.1,838,660,54
71,5.133333333333334,838,660,56
71,5.166666666666667,838,660,56
71,5.2,838,660,56
71,5.233333333333333,838,660,56
71,5.533333333333333,740,646,58
71,5.6,656,624,61
71,5.633333333333334,660,604,62
71,5.666666666666667,660,604,63
71,5.7,672,584,62
71,5.733333333333333,674,586,62
71,5.766666666666667,684,574,62
71,5.8,326,432,61
71,5.833333333333333,322,428,58
71,6.233333333333333,68,328,67
71,6.266666666666667,64,316,66
71,6.3,84,328,60
71,6.333333333333333,86,328,58
71,6.366666666666666,86,326,58
71,6.4,90,326,62
71,6.8,56,400,62
71,7.866666666666666,284,394,63
71,7.9,284,394,63
71,7.933333333333334,248,390,61
71,7.966666666666667,240,356,64
71,8.0,238,344,65
71,8.033333333333333,238,348,66
71,8.066666666666666,278,376,62
71,8.1,288,382,62
71,8.133333333333333,288,382,62
71,8.166666666666666,278,360,62
71,8.233333333333333,278,368,62
71,8.266666666666667,256,352,64
71,8.733333333333333,160,210,63
71,8.766666666666667,160,210,62
71,8.8,152,174,63
71,8.833333333333334,148,162,61
71,8.9,148,120,62
71,8.933333333333334,148,120,62
71,8.966666666666667,148,120,62
71,9.033333333333333,134,72,67
71,9.066666666666666,134,72,67
71,9.1,134,72,67
71,9.3,98,68,64
71,9.333333333333334,98,64,66
71,9.4,166,82,66
71,9.433333333333334,166,82,66
71,9.466666666666667,494,200,62
71,9.5,496,200,62
71,9.533333333333333,624,296,62
71,9.566666666666666,616,332,63
71,9.6,616,332,63
71,9.633333333333333,550,358,66
71,9.666666666666666,518,362,62
71,9.7,282,306,62
71,9.733333333333333,286,302,67
71,9.8,144,160,60
71,9.833333333333334,146,162,62
71,9.866666666666667,116,158,61
71,9.966666666666667,218,146,58
71,10.0,218,146,58
71,10.033333333333333,220,124,61
71,10.1,230,166,62
71,10.133333333333333,228,168,61
71,10.166666666666666,252,174,64
71,10.233333333333333,266,182,58
71,10.266666666666667,280,200,63
71,10.3,280,200,63
71,10.333333333333334,394,282,62
71,10.366666666666667,374,280,61
71,10.533333333333333,228,330,66
71,11.4,894,296,60
71,11.466666666666667,856,300,62
71,11.5,856,302,64
71,11.566666666666666,812,296,61
71,11.6,808,296,63
71,11.7,800,296,64
71,11.733333333333333,824,300,61
71,11.766666666666667,824,300,63
71,11.866666666666667,886,296,61
71,11.9,882,298,63
71,11.933333333333334,838,324,66
71,12.0,826,312,61
71,12.133333333333333,928,316,66
71,12.166666666666666,926,316,62
71,12.266666666666667,780,380,60
71,12.3,780,380,60
71,12.333333333333334,758,404,60
71,12.366666666666667,758,404,60
71,12.4,752,416,63
71,12.433333333333334,740,424,61
71,13.433333333333334,812,274,62
71,13.533333333333333,788,274,63
71,13.633333333333333,806,262,63
71,13.666666666666666,806,262,62
71,13.7,874,240,64
71,13.733333333333333,1110,150,61
71,13.766666666666667,1144,132,61
71,13.8,1144,130,62
71,13.833333333333334,1178,122,62
71,13.866666666666667,1176,120,62
71,13.9,1202,110,62
71,13.933333333333334,1212,100,62
71,13.966666666666667,1210,102,61
71,14.0,1160,106,62
71,14.033333333333333,1102,112,62
71,14.066666666666666,1102,112,62
71,14.1,1062,122,60
71,14.133333333333333,990,140,61
71,14.166666666666666,988,142,62
71,14.3,826,170,57
71,14.333333333333334,826,170,57
71,14.566666666666666,838,150,61
71,14.6,846,146,62
71,14.633333333333333,860,138,62
71,14.666666666666666,860,140,63
71,14.7,876,126,62
71,14.733333333333333,876,126,62
71,14.833333333333334,880,118,67
71,14.866666666666667,896,114,64
71,14.9,882,128,61
71,14.933333333333334,890,126,63
71,14.966666666666667,896,140,66
71,15.0,886,140,55
71,15.066666666666666,896,150,64
71,15.1,902,154,64
71,15.133333333333333,902,152,62
71,15.166666666666666,914,148,61
71,15.2,914,148,62
71,15.233333333333333,926,152,58
71,15.266666666666667,924,158,67
71,15.3,924,158,54
71,15.333333333333334,916,160,66
71,15.433333333333334,924,184,66
71,15.466666666666667,928,186,62
71,15.5,924,184,66
71,15.533333333333333,924,184,66
71,15.566666666666666,942,182,61
71,15.6,942,186,60
71,15.666666666666666,946,182,61
71,15.7,946,182,61
71,15.733333333333333,946,182,61
71,15.766666666666667,950,192,56
71,15.833333333333334,936,192,61
71,15.866666666666667,936,192,61
71,15.933333333333334,922,198,63
71,15.966666666666667,908,196,57
71,16.033333333333335,900,200,57
71,16.2,830,218,64
71,16.233333333333334,830,218,64
71,16.266666666666666,782,238,58
71,16.3,790,238,62
71,16.333333333333332,790,238,62
71,16.4,752,262,64
71,16.433333333333334,752,262,63
71,16.5,730,284,62
71,16.533333333333335,730,284,62
71,16.566666666666666,726,292,66
71,16.6,706,312,58
71,16.666666666666668,684,320,58
71,16.7,672,334,64
71,16.733333333333334,672,334,64
71,16.766666666666666,652,346,61
71,16.8,642,358,62
71,16.833333333333332,642,358,62
71,16.866666666666667,640,368,63
71,16.9,636,380,64
71,16.933333333333334,638,382,66
71,17.066666666666666,694,422,57
71,17.433333333333334,710,456,64
71,17.466666666666665,740,472,58
71,17.5,744,474,63
71,17.533333333333335,742,474,62
71,17.566666666666666,752,472,64
71,17.6,760,478,62
71,17.633333333333333,760,474,65
71,17.666666666666668,782,476,60
71,17.7,778,474,62
71,17.733333333333334,782,476,60
71,17.766666666666666,780,472,64
71,17.8,780,472,64
71,17.833333333333332,780,472,64
71,17.866666666666667,780,472,64
71,17.9,780,472,64
71,17.933333333333334,780,472,64
71,17.966666666666665,780,472,64
71,18.0,780,472,64
71,18.033333333333335,780,472,64
71,18.066666666666666,780,472,64
71,18.1,780,472,64
71,18.133333333333333,820,476,61
71,18.166666666666668,834,488,64
71,18.2,824,506,63
71,18.233333333333334,824,506,63
71,18.266666666666666,818,530,63
71,18.3,818,530,62
71,18.333333333333332,802,518,62
71,18.366666666666667,802,534,58
71,18.4,796,526,58
71,18.466666666666665,426,544,64
71,18.5,426,544,64
71,18.533333333333335,344,578,64
71,18.566666666666666,436,590,62
71,18.6,436,590,63
71,18.633333333333333,850,642,60
71,18.666666666666668,848,640,62
71,18.7,850,640,61
71,18.733333333333334,850,640,61
71,18.766666666666666,850,640,61
71,18.8,850,640,61
71,18.833333333333332,850,640,61
71,18.866666666666667,850,640,61
71,18.9,850,640,61
71,18.933333333333334,850,640,61
71,18.966666666666665,850,640,61
71,19.0,850,640,61
71,19.033333333333335,850,640,61
71,19.066666666666666,850,640,61
71,19.1,850,640,61
71,19.133333333333333,850,640,61
71,19.166666666666668,850,640,61
71,19.2,850,640,61
71,19.233333333333334,850,640,61
71,19.266666666666666,850,640,61
71,19.3,358,572,62
71,19.733333333333334,642,656,63
71,19.833333333333332,666,650,66
71,19.866666666666667,696,640,58
71,19.9,700,638,65
71,20.033333333333335,742,626,61
71,20.066666666666666,756,636,57
71,20.333333333333332,846,632,61
71,20.366666666666667,842,628,66
71,20.4,846,624,63
71,20.533333333333335,874,620,64
71,20.566666666666666,898,596,60
71,20.6,906,602,68
71,20.666666666666668,962,580,62
71,20.7,962,580,62
71,20.733333333333334,978,532,61
71,20.766666666666666,978,532,61
71,20.8,964,514,62
71,20.833333333333332,982,502,62
71,20.866666666666667,978,500,60
71,20.933333333333334,978,476,66
71,20.966666666666665,1004,478,61
71,21.133333333333333,1044,414,54
71,21.166666666666668,1040,410,57
71,21.2,1032,352,61
71,21.333333333333332,1060,322,62
71,21.366666666666667,1132,260,62
71,21.4,1132,260,62
71,21.433333333333334,1110,262,64
71,21.466666666666665,1110,262,62
71,21.5,1164,238,62
71,21.533333333333335,1164,238,62
71,21.566666666666666,1162,240,62
71,21.6,1186,232,62
71,21.633333333333333,1186,236,60
71,21.666666666666668,1180,218,58
71,21.7,1188,214,62
71,21.733333333333334,1188,212,64
71,21.766666666666666,1188,214,62
71,21.8,1194,220,61
71,21.833333333333332,1194,226,61
71,21.866666666666667,1194,226,61
71,21.9,1104,238,65
71,21.933333333333334,1102,240,62
71,21.966666666666665,1150,242,57
71,22.0,1116,254,62
71,22.033333333333335,1082,268,62
71,22.066666666666666,1082,268,62
71,22.1,1064,282,64
71,22.166666666666668,1012,302,61
71,22.2,1006,302,61
71,22.233333333333334,1046,302,66
71,22.266666666666666,1048,304,68
71,22.3,1076,286,66
71,22.333333333333332,1070,278,64
71,22.366666666666667,1106,282,58
71,22.533333333333335,1126,310,68
71,22.633333333333333,1138,310,58
71,22.733333333333334,1080,300,63
71,22.766666666666666,1080,300,63
71,23.2,888,72,62
71,23.233333333333334,846,84,63
71,23.266666666666666,906,96,58
71,23.3,908,102,62
71,23.333333333333332,924,94,66
71,23.366666666666667,924,94,57
71,23.4,898,72,66
71,23.433333333333334,900,72,68
71,23.5,908,78,60
71,23.533333333333335,910,116,56
71,23.566666666666666,920,114,65
71,23.6,916,114,62
71,23.633333333333333,924,72,66
71,23.666666666666668,920,74,64
71,23.766666666666666,998,100,57
71,23.8,994,98,60
71,23.866666666666667,1042,82,57
71,25.733333333333334,76,294,60
71,26.466666666666665,228,432,62
71,26.6,902,566,62
71,26.633333333333333,902,566,62
71,26.666666666666668,850,496,63
71,26.766666666666666,844,406,66
71,26.966666666666665,924,432,62
71,27.266666666666666,1012,382,66
71,27.3,1014,384,65
71,27.333333333333332,1142,216,64
