Video ID,Time (s),Center X,Center Y,Radius
66,0.03333333333333333,820,258,62
66,0.06666666666666667,820,258,62
66,0.43333333333333335,288,576,62
66,0.4666666666666667,262,562,62
66,0.5,242,548,64
66,0.5333333333333333,242,548,64
66,0.5666666666666667,234,540,62
66,0.6,234,540,62
66,0.6333333333333333,182,440,62
66,0.6666666666666666,122,386,62
66,0.7,122,386,62
66,0.7333333333333333,100,382,63
66,0.7666666666666667,100,382,63
66,0.8,100,382,63
66,0.8333333333333334,102,394,58
66,0.9333333333333333,120,430,63
66,0.9666666666666667,120,430,63
66,1.0,120,430,63
66,1.0333333333333334,112,438,62
66,1.0666666666666667,128,436,65
66,1.1,128,436,65
66,1.1333333333333333,128,442,61
66,1.1666666666666667,132,436,61
66,1.2,132,436,61
66,1.2333333333333334,128,442,61
66,1.2666666666666666,138,446,62
66,1.3,146,448,62
66,1.3333333333333333,146,448,62
66,1.3666666666666667,146,448,62
66,1.4,146,448,62
66,1.4333333333333333,146,448,62
66,1.4666666666666666,146,448,62
66,1.5,146,448,62
66,1.5333333333333334,146,448,62
66,1.5666666666666667,152,444,63
66,1.6,152,444,63
66,1.6333333333333333,164,446,64
66,1.6666666666666667,164,446,64
66,1.7,164,446,64
66,1.7333333333333334,166,454,58
66,1.7666666666666666,188,448,58
66,1.8,200,458,58
66,1.8333333333333333,200,458,58
66,1.8666666666666667,200,452,66
66,1.9,200,452,66
66,1.9333333333333333,198,456,64
66,1.9666666666666666,214,450,62
66,2.0,224,458,64
66,2.033333333333333,220,458,62
66,2.066666666666667,232,458,64
66,2.1,230,460,61
66,2.1333333333333333,230,458,64
66,2.1666666666666665,232,458,64
66,2.2,224,458,64
66,2.2333333333333334,224,458,64
66,2.2666666666666666,224,458,64
66,2.3,224,458,64
66,2.3333333333333335,224,458,64
66,2.3666666666666667,214,458,63
66,2.4,214,458,63
66,2.433333333333333,206,458,63
66,2.5,184,456,66
66,2.533333333333333,182,460,62
66,2.566666666666667,166,462,60
66,2.6666666666666665,140,454,62
66,2.7,140,454,62
66,2.7333333333333334,134,446,62
66,2.7666666666666666,124,448,58
66,2.8,128,440,65
66,2.8333333333333335,114,444,62
66,2.8666666666666667,110,444,61
66,2.9,100,446,61
66,2.933333333333333,104,442,66
66,2.966666666666667,96,458,60
66,3.0,98,458,58
66,3.033333333333333,90,462,62
66,3.066666666666667,90,462,62
66,3.1,90,462,62
66,3.1333333333333333,94,468,61
66,3.1666666666666665,94,468,61
66,3.2,108,470,62
66,3.2333333333333334,124,472,61
66,3.2666666666666666,122,472,63
66,3.3,140,488,60
66,3.3333333333333335,504,318,61
66,3.3666666666666667,676,232,60
66,3.4,676,232,60
66,3.433333333333333,802,160,61
66,3.466666666666667,834,144,61
66,3.5,830,142,62
66,3.533333333333333,850,126,62
66,3.566666666666667,838,114,64
66,3.6,838,106,62
66,3.6333333333333333,838,106,62
66,3.6666666666666665,846,98,64
66,3.7,844,96,62
66,3.7333333333333334,844,96,61
66,3.8,836,86,64
66,3.8333333333333335,836,88,63
66,3.8666666666666667,836,80,60
66,3.9,836,80,60
66,3.933333333333333,830,76,58
66,3.966666666666667,836,78,58
66,4.0,836,78,58
66,7.166666666666667,918,108,58
66,7.2,918,108,58
66,7.233333333333333,910,110,58
66,7.266666666666667,910,110,58
66,7.3,188,418,58
66,7.333333333333333,188,418,58
66,7.366666666666666,188,418,58
66,7.4,386,410,66
66,7.433333333333334,580,446,58
66,7.466666666666667,566,446,63
66,7.5,566,446,63
66,7.566666666666666,566,446,61
66,7.6,566,446,61
66,7.633333333333334,554,462,62
66,7.666666666666667,528,506,57
66,7.7,488,548,64
66,7.733333333333333,488,548,64
66,7.766666666666667,488,548,64
66,7.8,488,548,64
66,7.833333333333333,488,548,64
66,7.866666666666666,466,580,63
66,7.933333333333334,436,588,65
66,7.966666666666667,434,596,60
66,8.133333333333333,424,580,62
66,8.166666666666666,424,580,62
66,8.2,408,582,62
66,8.233333333333333,408,582,62
66,8.266666666666667,304,516,63
66,8.3,230,416,66
66,8.433333333333334,166,412,56
66,8.466666666666667,142,426,61
66,8.5,146,428,66
66,8.566666666666666,130,422,66
66,8.666666666666666,130,408,62
66,9.033333333333333,130,408,56
66,9.066666666666666,124,394,65
66,9.133333333333333,126,394,63
66,9.166666666666666,128,394,62
66,9.266666666666667,116,394,58
66,9.3,116,390,58
66,9.4,118,394,60
66,9.433333333333334,116,390,58
66,9.466666666666667,116,390,58
66,9.533333333333333,124,386,58
66,9.6,136,396,58
66,9.633333333333333,136,396,58
66,9.7,140,384,68
66,9.733333333333333,132,386,62
66,9.766666666666667,140,384,68
66,9.8,140,384,68
66,9.833333333333334,146,384,64
66,9.866666666666667,146,390,56
66,9.9,146,390,56
66,9.933333333333334,148,390,58
66,10.066666666666666,162,388,54
66,10.1,162,388,54
66,10.233333333333333,146,390,63
66,10.266666666666667,74,556,62
66,10.3,74,574,57
66,10.333333333333334,86,586,61
66,10.366666666666667,114,554,64
66,10.4,116,540,61
66,10.433333333333334,118,534,64
66,10.466666666666667,118,534,64
66,10.5,334,506,62
66,10.566666666666666,592,472,62
66,10.6,620,462,64
66,10.633333333333333,620,464,64
66,10.666666666666666,642,474,66
66,10.7,648,462,58
66,10.8,748,420,66
66,10.933333333333334,984,362,63
66,11.0,1012,372,60
66,11.033333333333333,1094,404,60
66,11.066666666666666,1108,404,64
66,11.1,1148,398,63
66,11.133333333333333,1152,392,60
66,11.166666666666666,1084,640,64
66,11.166666666666666,1150,388,61
66,11.2,496,660,54
66,11.2,1124,378,66
66,11.3,1122,336,58
66,11.333333333333334,1084,660,53
66,11.366666666666667,1066,562,62
66,11.4,496,584,54
66,11.5,786,168,57
66,11.633333333333333,1088,570,68
66,11.7,1038,522,58
66,11.7,1086,492,64
66,12.166666666666666,1102,432,60
66,12.2,1102,432,60
66,12.2,486,424,53
66,12.266666666666667,756,514,62
66,12.3,628,542,62
66,12.333333333333334,606,554,60
66,12.4,1064,464,55
66,12.4,516,572,58
66,12.5,356,544,58
66,12.533333333333333,278,516,61
66,12.566666666666666,246,514,61
66,12.666666666666666,242,452,62
66,12.7,226,446,58
66,12.733333333333333,494,346,64
66,12.733333333333333,222,426,61
66,12.766666666666667,496,318,65
66,12.933333333333334,126,254,61
66,12.966666666666667,130,204,56
66,13.033333333333333,128,214,66
66,13.066666666666666,132,202,65
66,13.1,310,258,61
66,13.133333333333333,348,280,66
66,13.166666666666666,360,288,63
66,13.3,486,320,64
66,13.3,486,236,53
66,13.4,510,324,62
66,13.433333333333334,510,324,62
66,13.466666666666667,514,318,62
66,13.5,514,318,62
66,13.533333333333333,516,318,62
66,13.566666666666666,516,318,62
66,13.6,518,318,55
66,14.0,544,284,58
66,14.066666666666666,526,292,66
66,14.1,526,292,68
66,14.133333333333333,524,302,62
66,14.2,508,304,68
66,14.233333333333333,502,302,60
66,14.266666666666667,500,308,65
66,14.3,494,308,66
66,14.333333333333334,496,310,58
66,14.366666666666667,494,316,62
66,14.4,494,320,60
